file,date,title,existing_categories,existing_tags,already_classified,suggested_category,method,detail,final_category
2019-12-22-love-letters-i-wrote.markdown,2019-12-14 10:51:39,Love letters I wrote.,personal,"",true,personal,keyword-heuristic,"personal:34, books:19, philosophy:2",personal
2020-01-06-disagree-with-caa.markdown,2020-01-06 10:24:39,Show your disagreement with CAA.,politics|policy|philosophy,"",true,"",weak-match,too close to call (policy:2) — needs manual read,politics|policy|philosophy
2020-01-17-obituary-to-lilavati.markdown,2020-01-17 21:20:39,An Obituary to Prof. Lilavati.,philosophy|personal,"",true,politics,keyword-heuristic,"politics:8, personal:7, books:6",philosophy|personal
2020-03-28-a-short-history-of-dead-babies-walking.markdown,2020-03-28 22:51:39,A short history of dead babies walking.,politics,"",true,philosophy,keyword-heuristic,"philosophy:11, politics:3, personal:1",politics
2020-04-09-sagar-letter.markdown,2020-04-09 20:05:39,മറ്റൊരു കത്ത്.,malayalam,"",true,malayalam,unicode-detected,44 Malayalam-range chars,malayalam
2020-04-14-sagar-tara-sea.markdown,2020-04-14 10:51:39,സാഗർ എഴുതുന്നു.,malayalam,"",true,malayalam,unicode-detected,4510 Malayalam-range chars,malayalam
2020-05-07-india-intellectual-project.markdown,2020-05-07 18:51:39,India is an intellectual project too. It must be protected.,politics|policy|philosophy,"",true,politics,keyword-heuristic,"politics:28, policy:14, philosophy:1",politics|policy|philosophy
2020-06-04-community-transmission-kerala.markdown,2020-06-04 09:01:39,Community transmission in Kerala.,politics,"",true,"",weak-match,"too close to call (politics:1, policy:1) — needs manual read",politics
2020-06-10-appetite-for-a-darker-worldview.markdown,2020-06-10 10:51:39,Appetite for a darker worldview.,politics|policy,"",true,politics,keyword-heuristic,"politics:6, policy:2, philosophy:2",politics|policy
2020-08-13-on-bangalore-riots.markdown,2020-08-13 11:39:39,On Bangalore riots.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:10, policy:3, philosophy:2",politics|philosophy
2020-08-16-yeh-duniya-agar-mil-bhi-jaye-to-kya-hai.markdown,2020-08-16 09:31:26,"What is it, even if you win this universe?",philosophy|personal,"",true,personal,keyword-heuristic,personal:3,philosophy|personal
2020-09-21-kisses-unkempt.markdown,2020-09-21 12:31:39,Kisses unkempt.,personal,"",true,personal,keyword-heuristic,"personal:13, philosophy:1",personal
2020-11-07-love-confabulated-part-one.markdown,2020-11-07 13:48:39,"Love, confabulated.",personal,"",true,personal,keyword-heuristic,"personal:8, policy:7, books:4",personal
2020-11-18-love-confabulated-part-two.markdown,2020-11-18 13:11:39,"Love, confabulated (2).",personal,"",true,personal,keyword-heuristic,"personal:51, books:9, philosophy:3",personal
2020-11-30-the-era-of-global-politics-driving-the-local.markdown,2020-11-30 14:06:39,The era of global politics driving the local.,politics|policy,"",true,politics,keyword-heuristic,"politics:6, policy:4, books:2",politics|policy
2020-12-04-pranayavum-samayavum.markdown,2020-12-01 21:01:39,പ്രണയവും സമയവും.,malayalam,"",true,malayalam,unicode-detected,1104 Malayalam-range chars,malayalam
2020-12-05-little-chandrika-part-one.markdown,2020-12-05 21:15:39,Little Chandrika (1).,personal,"",true,personal,keyword-heuristic,"personal:7, policy:4, books:1",personal
2021-04-19-wealth-and-compassion.markdown,2021-04-19 11:46:39,Does Compassion Correlate with Wealth?,politics,"",true,philosophy,keyword-heuristic,"philosophy:4, politics:2, policy:2",politics
2021-05-17-where-are-the-songs.markdown,2021-05-17 16:35:39,Where are the songs when we have death all around?,politics|philosophy|personal,"",true,personal,keyword-heuristic,"personal:8, politics:2",politics|philosophy|personal
2021-05-20-making-vaccines-for-the-world.markdown,2021-05-20 11:46:39,Making vaccines for the world.,politics|policy,"",true,"",weak-match,"too close to call (policy:4, tech:4, politics:1) — needs manual read",politics|policy
2021-07-02-remembering-abhimanyu.markdown,2021-07-02 10:51:39,Remembering Abhimanyu.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:4, personal:2, tech:2",politics|philosophy
2021-08-21-taliban-winning-hearts-and-minds.markdown,2021-08-21 21:31:39,How the Taliban will seek to win the world's hearts and minds,politics|policy,"",true,politics,keyword-heuristic,"politics:6, books:5, philosophy:1",politics|policy
2021-08-22-dissecting-dreams.markdown,2021-08-22 22:51:39,Dissecting Dreams.,philosophy,"",true,books,keyword-heuristic,"books:5, policy:3, philosophy:3",philosophy
2021-11-25-flickering-lights-over-the-sea-of-time.markdown,2021-11-25 22:41:39,Flickering lights over the sea of time.,philosophy,"",true,personal,keyword-heuristic,"personal:18, philosophy:5, politics:1",philosophy
2021-12-25-of-what-we-share-and-we-choose-not-to-share.markdown,2021-12-24 01:01:39,Of what we share and we choose not to share.,personal,"",true,"",weak-match,"too close to call (philosophy:5, books:5, personal:4) — needs manual read",personal
2022-01-02-a-short-history-of-2021.markdown,2022-01-01 10:51:39,A short history of 2021.,philosophy,"",true,books,keyword-heuristic,"books:4, personal:2, tech:2",philosophy
2022-06-02-my-upsc-journey.markdown,2022-06-02 00:01:39,My Time with the UPSC.,philosophy,"",true,books,keyword-heuristic,"books:14, personal:12, tech:5",philosophy
2022-06-20-american-verse-insta.markdown,2022-06-20 10:51:39,The American Verse,politics|books,"",true,"",weak-match,"too close to call (philosophy:1, personal:1, books:1) — needs manual read",politics|books
2022-07-19-daivathinte-aayiram-mukhangal.markdown,2022-07-19 01:51:39,ദൈവത്തിന്റെ ആയിരം മുഖങ്ങൾ.,personal,"",true,malayalam,unicode-detected,3559 Malayalam-range chars,personal
2022-10-03-gandhi-praxis-x-idol.markdown,2022-10-02 10:51:39,Gandhi and his faults - choosing the praxis X idol.,philosophy,"",true,philosophy,keyword-heuristic,"philosophy:33, politics:25, books:5",philosophy
2022-12-13-for-a-better-india-1.markdown,2022-12-13 02:30:39,Attack on fraternity is an attack on the Indian Constitution.,policy|philosophy,"",true,politics,keyword-heuristic,"politics:21, policy:14, philosophy:8",policy|philosophy
2023-04-25-democratic-thinking-vs-democracy-in-praxis.markdown,2023-04-24 10:51:39,Democratic thinking vs Democracy in Praxis.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:36, philosophy:5, books:3",politics|philosophy
2023-09-20-revolution-is-a-product-of-old-age.markdown,2023-09-20 01:51:39,Revolution is a product of old age.,politics|philosophy,"",true,personal,keyword-heuristic,"personal:10, politics:2, philosophy:1",politics|philosophy
2023-10-30-philosophy-of-the-bomb.markdown,2023-10-30 01:00:39,Philosophy of the bomb.,politics|philosophy,"",true,philosophy,keyword-heuristic,"philosophy:9, politics:4, policy:2",politics|philosophy
2024-01-23-maaran-daivathinte-maranam.markdown,2024-01-23 10:51:39,മാരൻ ദൈവത്തിന്റെ നാണം കെട്ട മരണം.,malayalam,"",true,malayalam,unicode-detected,7684 Malayalam-range chars,malayalam
2024-05-31-direct-democracy-is-dictatorship.markdown,2024-05-31 01:51:39,Direct Democracy is Dictatorship.,politics|philosophy,"",true,politics,keyword-heuristic,"politics:24, policy:6, philosophy:6",politics|philosophy
2024-07-07-death-of-a-cow-slaughterer.markdown,2024-07-07 10:51:39,Death of a Cow Slaughterer.,policy|personal,"",true,personal,keyword-heuristic,"personal:13, philosophy:7, politics:4",policy|personal
2024-12-17-pseudo-culturism-must-be-exposed.markdown,2024-12-07 10:51:39,"Pseudo-Cultarism must be discussed, its practitioners exposed.",politics|philosophy,"",true,politics,keyword-heuristic,"politics:15, tech:5, philosophy:4",politics|philosophy
2025-06-25-it-takes-more-than-one-to-organise.markdown,2025-06-25 10:51:39,It takes more than one to organise.,philosophy,"",true,"",weak-match,"too close to call (politics:6, tech:6, policy:3) — needs manual read",philosophy
